x,y,orientation,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,stimulation_dur,post_fixation,opacity,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,ID,frameRate,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\1_welcome.png,3.5690636000363156,4.0066648999927565,0,0.33583510003518313,0.4355391000281088,0.03165760001866147,0.46502260002307594,,,,,,,,,,,,,,,,,30.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\2_instruction.png,4.081607900036033,4.186173300025985,0,0.03605090000201017,0.10252269997727126,0.03130800003418699,0.13125320000108331,,,,,,,,,,,,,,,,,30.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\3_location_demo.png,4.262991800031159,4.33511730004102,0,0.03575799998361617,0.06922820000909269,0.030753099999856204,0.09748950001085177,,,,,,,,,,,,,,,,,30.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\4_orientation_demo.png,4.425187000015285,4.4964835999999195,0,0.036083900020457804,0.0693518000189215,0.031292100029531866,0.09773059998406097,,,,,,,,,,,,,,,,,30.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\5_pas_demo.png,4.574640600010753,4.645607799990103,0,0.03552249999484047,0.06876769999507815,0.03098630002932623,0.09785339998779818,,,,,,,,,,,,,,,,,30.0,
77,77,45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,4.677864300028887,72.0,24.0,36.0,0.2,2,0.3385433999937959,0.5043813000083901,1,0.07163039996521547,0.13857869995990768,1,0.7717903000302613,0.8716351000475697,,30.0,
77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,10.999759300029837,66.0,24.0,36.0,0.2,2,0.305181999981869,0.44085750001249835,1,0.03815579996444285,0.13940739998361096,1,0.038716399983968586,0.13839350000489503,,30.0,
-77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,16.182600700005423,87.0,24.0,36.0,0.2,2,0.3056220000144094,0.43862789997365326,1,0.03712499997345731,0.17146949999732897,1,0.00958160002483055,0.104412000044249,,30.0,
77,77,0,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,22.04542030004086,87.0,24.0,36.0,0.2,5,0.4726735000149347,0.6058695000247099,1,0.00712049996946007,0.07198519998928532,1,0.037335500004701316,0.10464999999385327,,30.0,
77,77,90,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,28.00141490000533,84.0,24.0,36.0,0.2,5,0.47315070003969595,0.6064259000122547,1,0.13896999997086823,0.2400781000033021,1,0.008547000004909933,0.07347350002964959,,30.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\10_staircase_start.png,34.11560379998991,35.1216807999881,1,0.8700612999964505,1.0037429999792948,0.03155419998802245,1.0316379999858327,,,,,,,,,,,,,,,,,30.0,
,,,,,,,,,,,,,,,,,staircase,35.15233210002771,87.0,24.0,36.0,0.1,,,,,,,,,,,,
